,index,year,concussion,pe_attendance,Television,race,sports_participation,sex,breakfast,physical_activity,age_sex,multiple_partners,Age_Weed,fight,Hrs_Sleep,suicide,Age_Alc,drunk_driving
240,190578,2017,0,5,4,3,3,2,2,7,8,4,9,0,4,0,8,0
976,193197,2017,0,3,2,3,0,2,1,0,8,6,8,0,4,0,8,0
1914,195640,2017,0,4,0.5,1,1,2,0,0,8,6,8,0,4,0,8,0
3137,200257,2017,1,0,4,1,0,1,0,0,11,6,11,0,4,0,8,0
4149,202991,2017,0,0,4,3,0,1,0,2,11,6,10,0,4,0,8,0
5065,207439,2017,4,0,5,3,0,2,0,0,8,6,8,0,4,0,8,0
5300,208170,2017,0,0,0,3,2,2,1,7,8,6,8,0,4,0,8,0
6607,213581,2017,0,0,0,3,0,1,3,0,9,6,10,0,4,0,8,0
7489,216419,2019,2,3,0,1,0,1,0,3,13,1,8,0,4,0,8,0
976,193197,2019,0,3,2,3,0,2,1,0,8,6,8,0,4,0,8,0
7489,216419,2019,2,3,0,1,0,1,0,3,13,1,8,0,4,0,8,0
6607,213581,2019,0,0,0,3,0,1,3,0,9,6,10,0,4,0,8,0
4149,202991,2019,0,0,4,3,0,1,0,2,11,6,10,0,4,0,8,0
4149,202991,2019,0,0,4,3,0,1,0,2,11,6,10,0,4,0,8,0
1036,193483,2017,0,2,0.5,1,0,2,4,5,11,1,13,1,4,0,8,0
5304,208177,2017,0,0,2,2,3,2,7,6,11,5,11,1,4,0,8,0
5335,208246,2017,0,3,3,3,2,2,0,6,8,1,12,1,4,0,8,0
7422,216263,2019,0,0,5,1,0,1,0,1,9,6,12,1,4,0,8,0
1,189029,2017,4,0,0,1,0,2,0,0,8,6,8,0,4,1,8,0
1199,193833,2017,1,5,1,1,2,2,3,5,13,3,12,0,4,1,8,0
1660,195082,2017,0,0,2,3,0,2,3,3,10,6,11,0,4,1,8,0
1744,195303,2017,0,5,5,3,0,2,0,0,8,6,8,0,4,1,8,0
3183,200436,2017,3,3,2,2,2,1,2,7,11,1,11,0,4,1,8,0
4247,203171,2017,0,0,5,2,0,1,2,4,8,6,10,0,4,1,8,0
4814,206397,2017,0,0,1,4,3,2,7,7,9,6,11,0,4,1,8,0
5218,207903,2017,4,5,5,1,3,2,7,7,8,6,8,0,4,1,8,0
7418,216257,2019,0,0,1,3,1,1,0,2,13,1,8,0,4,1,8,0
1357,194173,2019,0,0,3,3,0,2,0,3,9,3,8,0,4,1,8,0
3648,201653,2019,0,0,0,1,0,1,7,0,10,6,10,0,4,1,8,0
4247,203171,2019,0,0,5,2,0,1,2,4,8,6,10,0,4,1,8,0
3183,200436,2019,3,3,2,2,2,1,2,7,11,1,11,0,4,1,8,0
3648,201653,2019,0,0,0,1,0,1,7,0,10,6,10,0,4,1,8,0
4247,203171,2019,0,0,5,2,0,1,2,4,8,6,10,0,4,1,8,0
4387,203483,2019,0,4,4,3,3,2,5,7,11,5,10,0,4,1,8,0
4387,203483,2019,0,4,4,3,3,2,5,7,11,5,10,0,4,1,8,0
4387,203483,2019,0,4,4,3,3,2,5,7,11,5,10,0,4,1,8,0
4387,203483,2019,0,4,4,3,3,2,5,7,11,5,10,0,4,1,8,0
4387,203483,2019,0,4,4,3,3,2,5,7,11,5,10,0,4,1,8,0
4387,203483,2019,0,4,4,3,3,2,5,7,11,5,10,0,4,1,8,0
1105,193621,2017,0,0,2,1,0,2,7,6,9,3,13,1,4,1,8,0
5871,209859,2017,1,0,5,3,0,2,3,0,11,6,11,1,4,1,8,0
5978,210169,2017,0,0,5,3,1,2,2,0,8,2,12,1,4,1,8,0
7387,216198,2019,0,0,0,1,1,1,7,5,11,6,12,1,4,1,8,0
4514,204513,2017,0,0,0.5,3,0,2,2,4,11,1,11,0,4,1,8,0
4631,205598,2017,0,0,5,3,1,2,4,2,11,6,12,0,4,1,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,4,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,4,0,8,0
2285,197425,2017,0,3,0,1,1,1,0,4,12,1,8,0,5,0,8,0
2285,197425,2019,0,3,0,1,1,1,0,4,12,1,8,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
3230,200668,2017,0,3,0,4,0,1,1,7,12,1,10,1,5,0,8,0
3437,201241,2017,0,0,1,3,0,1,2,0,12,3,11,1,5,0,8,0
3230,200668,2019,0,3,0,4,0,1,1,7,12,1,10,1,5,0,8,0
3437,201241,2019,0,0,1,3,0,1,2,0,12,3,11,1,5,0,8,0
3230,200668,2019,0,3,0,4,0,1,1,7,12,1,10,1,5,0,8,0
3437,201241,2019,0,0,1,3,0,1,2,0,12,3,11,1,5,0,8,0
4453,203661,2017,0,0,0.5,3,2,1,4,0,13,4,12,1,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
